Day,Cohortday,IdLabel,Loc,Period,Amplitude,Disp,Rel,Discard,Cond,Reversal,Cohort
,,Bat5,9,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,10,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,11,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,12,5400000,35,41,0,1,Rateofchange,0,1
,,Bat74,1,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,2,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,3,2700000,35,41,1,1,Rateofchange,0,1
,,Bat74,4,2700000,35,41,1,1,Rateofchange,0,1
,,Bat74,5,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,6,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,7,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,8,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,9,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,10,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,11,2700000,35,41,0,1,Rateofchange,0,1
,,Bat74,12,2700000,35,41,0,1,Rateofchange,0,1
,,Bat50,1,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,2,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,3,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,4,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,5,21600000,35,41,1,1,Rateofchange,0,1
,,Bat50,6,21600000,35,41,1,1,Rateofchange,0,1
,,Bat50,7,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,8,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,9,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,10,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,11,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,12,21600000,35,41,0,1,Rateofchange,0,1
,,Bat105,1,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,2,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,3,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,4,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,5,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,6,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,7,10800000,35,41,1,1,Rateofchange,0,1
,,Bat105,8,10800000,35,41,1,1,Rateofchange,0,1
,,Bat105,9,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,10,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,11,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,12,10800000,35,41,0,1,Rateofchange,0,1
,,Bat101,1,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,2,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,3,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,4,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,5,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,6,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,7,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,8,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,9,5400000,35,41,1,1,Rateofchange,0,1
,,Bat101,10,5400000,35,41,1,1,Rateofchange,0,1
,,Bat101,11,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,12,5400000,35,41,0,1,Rateofchange,0,1
,,Bat55,1,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,2,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,3,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,4,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,5,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,6,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,7,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,8,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,9,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,10,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,11,21600000,35,41,1,1,Rateofchange,0,1
,,Bat55,12,21600000,35,41,1,1,Rateofchange,0,1
2,1,Bat5,1,10800000,35,41,1,0,Rateofchange,0,1
2,1,Bat5,2,10800000,35,41,1,0,Rateofchange,0,1
2,1,Bat5,3,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,4,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,5,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,6,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,7,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,8,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,9,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,10,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,11,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat5,12,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,1,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,2,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,3,5400000,35,41,1,0,Rateofchange,0,1
2,1,Bat74,4,5400000,35,41,1,0,Rateofchange,0,1
2,1,Bat74,5,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,6,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,7,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,8,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,9,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,10,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,11,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat74,12,5400000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,1,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,2,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,3,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,4,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,5,2700000,35,41,1,0,Rateofchange,0,1
2,1,Bat50,6,2700000,35,41,1,0,Rateofchange,0,1
2,1,Bat50,7,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,8,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,9,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,10,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,11,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat50,12,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,1,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,2,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,3,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,4,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,5,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,6,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,7,21600000,35,41,1,0,Rateofchange,0,1
2,1,Bat105,8,21600000,35,41,1,0,Rateofchange,0,1
2,1,Bat105,9,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,10,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,11,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat105,12,21600000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,1,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,2,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,3,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,4,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,5,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,6,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,7,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,8,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,9,10800000,35,41,1,0,Rateofchange,0,1
2,1,Bat101,10,10800000,35,41,1,0,Rateofchange,0,1
2,1,Bat101,11,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat101,12,10800000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,1,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,2,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,3,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,4,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,5,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,6,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,7,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,8,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,9,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,10,2700000,35,41,0,0,Rateofchange,0,1
2,1,Bat55,11,2700000,35,41,1,0,Rateofchange,0,1
2,1,Bat55,12,2700000,35,41,1,0,Rateofchange,0,1
3,2,Bat5,1,10800000,35,41,1,0,Rateofchange,1,1
3,2,Bat5,2,10800000,35,41,1,0,Rateofchange,1,1
3,2,Bat5,3,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,4,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,5,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,6,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,7,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,8,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,9,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,10,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,11,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat5,12,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,1,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,2,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,3,5400000,35,41,1,0,Rateofchange,1,1
3,2,Bat74,4,5400000,35,41,1,0,Rateofchange,1,1
3,2,Bat74,5,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,6,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,7,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,8,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,9,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,10,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,11,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat74,12,5400000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,1,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,2,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,3,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,4,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,5,2700000,35,41,1,0,Rateofchange,1,1
3,2,Bat50,6,2700000,35,41,1,0,Rateofchange,1,1
3,2,Bat50,7,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,8,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,9,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,10,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,11,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat50,12,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,1,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,2,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,3,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,4,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,5,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,6,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,7,21600000,35,41,1,0,Rateofchange,1,1
3,2,Bat105,8,21600000,35,41,1,0,Rateofchange,1,1
3,2,Bat105,9,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,10,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,11,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat105,12,21600000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,1,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,2,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,3,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,4,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,5,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,6,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,7,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,8,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,9,10800000,35,41,1,0,Rateofchange,1,1
3,2,Bat101,10,10800000,35,41,1,0,Rateofchange,1,1
3,2,Bat101,11,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat101,12,10800000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,1,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,2,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,3,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,4,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,5,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,6,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,7,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,8,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,9,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,10,2700000,35,41,0,0,Rateofchange,1,1
3,2,Bat55,11,2700000,35,41,1,0,Rateofchange,1,1
3,2,Bat55,12,2700000,35,41,1,0,Rateofchange,1,1
4,3,Bat5,1,21600000,35,41,1,0,Rateofchange,0,1
4,3,Bat5,2,21600000,35,41,1,0,Rateofchange,0,1
4,3,Bat5,3,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,4,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,5,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,6,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,7,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,8,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,9,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,10,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,11,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat5,12,21600000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,1,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,2,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,3,10800000,35,41,1,0,Rateofchange,0,1
4,3,Bat74,4,10800000,35,41,1,0,Rateofchange,0,1
4,3,Bat74,5,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,6,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,7,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,8,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,9,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,10,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,11,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat74,12,10800000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,1,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,2,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,3,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,4,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,5,5400000,35,41,1,0,Rateofchange,0,1
4,3,Bat50,6,5400000,35,41,1,0,Rateofchange,0,1
4,3,Bat50,7,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,8,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,9,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,10,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,11,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat50,12,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,1,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,2,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,3,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,4,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,5,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,6,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,7,2700000,35,41,1,0,Rateofchange,0,1
4,3,Bat105,8,2700000,35,41,1,0,Rateofchange,0,1
4,3,Bat105,9,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,10,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,11,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat105,12,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,1,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,2,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,3,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,4,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,5,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,6,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,7,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,8,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,9,2700000,35,41,1,0,Rateofchange,0,1
4,3,Bat101,10,2700000,35,41,1,0,Rateofchange,0,1
4,3,Bat101,11,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat101,12,2700000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,1,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,2,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,3,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,4,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,5,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,6,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,7,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,8,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,9,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,10,5400000,35,41,0,0,Rateofchange,0,1
4,3,Bat55,11,5400000,35,41,1,0,Rateofchange,0,1
4,3,Bat55,12,5400000,35,41,1,0,Rateofchange,0,1
5,4,Bat5,1,21600000,35,41,1,0,Rateofchange,1,1
5,4,Bat5,2,21600000,35,41,1,0,Rateofchange,1,1
5,4,Bat5,3,21600000,35,41,0,0,Rateofchange,1,1
5,4,Bat5,4,21600000,35,41,0,0,Rateofchange,1,1
